City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
465,Nileshwar,IN,77.68,overcast clouds,12.25,75.1,Neeleshwar Hermitage
468,Oistins,BB,79.52,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
469,Alma,CA,78.1,broken clouds,48.5501,-71.6491,Hotel Universel
471,Jardim,BR,74.75,few clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
472,Goderich,CA,76.91,broken clouds,43.7501,-81.7165,Harmony Inn
474,Ziri,SI,68.36,broken clouds,46.0422,14.1072,B&B Na Kluk
477,Velingrad,BG,68.94,clear sky,42.0272,23.9957,Spa Hotel Selekt
479,Tukrah,LY,76.19,clear sky,32.5341,20.5791,Lagrota restaurant
480,Constantine,DZ,72.81,clear sky,36.365,6.6147,Grand Hotel Cirta
484,Luanda,AO,66.79,few clouds,-8.8368,13.2343,EPIC SANA Luanda
485,Mongo,TD,78.39,overcast clouds,12.1844,18.693,Résidences du Programme FIDA
490,Narva-Joesuu,EE,65.93,few clouds,59.4589,28.0408,Narva-Jõesuu SPA & Sanatoorium
492,Kassala,SD,73.74,overcast clouds,15.451,36.4,Amassi Hotel Gash
493,Jalu,LY,77.2,clear sky,29.0331,21.5482,صاحبة الفخامة
494,Coroata,BR,76.75,few clouds,-4.13,-44.1242,Hotel Carvalho
495,Malakal,SS,73.15,overcast clouds,9.5334,31.6605,Nile Palace Hotel
496,Conde,BR,72.86,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
499,Inhambane,MZ,67.62,clear sky,-23.865,35.3833,Oceano
501,Escanaba,US,79.25,scattered clouds,45.7453,-87.0646,Sunset Lodge
506,Crixas,BR,76.06,clear sky,-14.5489,-49.9692,RISO HOTEL
508,Sao Gabriel Da Cachoeira,BR,73.13,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
511,Juba,SS,68.92,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
512,Bambui,BR,68.5,clear sky,-20.0064,-45.9769,Paulinelli Palace Hotel
513,Moose Factory,CA,67.98,haze,51.2585,-80.6094,Cree Village Eco Lodge
519,Gisenyi,RW,65.34,broken clouds,-1.7028,29.2564,Palm garden Resort
520,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Ikathouse
524,Zaysan,KZ,65.34,broken clouds,47.4667,84.8667,Ерлан үй
527,Abong Mbang,CM,66.69,light rain,3.9833,13.1833,Auberge Angle Sur
