City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
325,Tarko-Sale,RU,64.9225,77.785,53.35,64,100,9.31,overcast clouds
326,Umm Lajj,SA,25.0213,37.2685,87.37,55,41,9.35,scattered clouds
327,Masuguru,TZ,-11.3667,38.4167,66.92,76,19,3.62,few clouds
328,Vila Velha,BR,-20.3297,-40.2925,71.94,90,40,8.01,scattered clouds
329,Praia,CV,14.9215,-23.5087,77.92,82,78,0.67,broken clouds
330,Batouri,CM,4.4333,14.3667,67.75,98,99,1.92,overcast clouds
331,Orocue,CO,4.7912,-71.3354,75.15,92,98,6.93,overcast clouds
332,Marsh Harbour,BS,26.5412,-77.0636,83.28,72,4,11.9,clear sky
333,Llano De Piedra,PA,7.6667,-80.5667,76.89,99,100,3.18,overcast clouds
334,Artvin,TR,41.1667,41.8333,62.62,96,99,2.77,overcast clouds
335,Monrovia,LR,6.3005,-10.7969,75.43,80,100,12.91,light rain
336,Tremembe,BR,-22.9583,-45.5494,63.59,94,20,0.6,few clouds
337,Shubarkuduk,KZ,49.1447,56.4872,69.48,42,96,6.33,overcast clouds
338,Morant Bay,JM,17.8815,-76.4093,87.71,73,21,10.87,few clouds
339,Amapa,BR,1.0,-52.0,72.91,98,66,2.46,broken clouds
340,Tougan,BF,13.0667,-3.0667,77.4,78,50,10.04,scattered clouds
341,Svencioneliai,LT,55.1667,26.0,51.57,93,1,5.99,clear sky
342,Yazd,IR,31.8972,54.3675,82.33,13,0,2.04,clear sky
343,Kailahun,SL,8.2833,-10.5667,68.74,99,100,3.85,light rain
344,Manta,EC,-0.95,-80.7333,73.18,78,40,13.8,scattered clouds
345,Yenagoa,NG,4.9247,6.2642,73.02,85,99,4.76,overcast clouds
346,Klenovyy,UA,48.1193,39.4588,64.81,56,84,9.62,broken clouds
